N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 5 False 10 0.9666667 100.0 0.394153
1 iris.scale 2 5 False 10 0.9666667 100.0 8.929975
2 iris.scale 3 5 False 10 0.9666667 100.0 0.627075
3 iris.scale 4 5 False 10 0.9666667 100.0 5.580878
4 iris.scale 5 5 False 10 0.9666667 100.0 12.138618
5 iris.scale 6 5 False 10 0.9666667 100.0 9.133717
6 iris.scale 7 5 False 10 0.9666667 100.0 8.945333
7 iris.scale 8 5 False 10 0.9666667 96.66666666666667 58.472515
8 iris.scale 9 5 False 10 0.9666667 100.0 22.364703
9 iris.scale 10 5 False 10 0.9666667 96.66666666666667 0.958285
10 iris.scale 11 5 False 10 0.9666667 100.0 17.579198
11 iris.scale 12 5 False 10 0.9666667 100.0 61.437845
12 iris.scale 13 5 False 10 0.9666667 100.0 7.536281
13 iris.scale 14 5 False 10 0.9666667 96.66666666666667 29.055084
14 iris.scale 15 5 False 10 0.9666667 100.0 13.223047
15 iris.scale 16 5 False 10 0.9666667 100.0 33.268050
16 iris.scale 17 5 False 10 0.9666667 100.0 1.131361
17 iris.scale 18 5 False 10 0.9666667 96.66666666666667 19.654744
18 iris.scale 19 5 False 10 0.9666667 83.33333333333334 13.063963
19 iris.scale 20 5 False 10 0.9666667 100.0 28.886265
