N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 2 False 10 0.9666667 93.33333333333333 0.345954
1 iris.scale 2 2 False 10 0.9666667 100.0 8.867015
2 iris.scale 3 2 False 10 0.9666667 96.66666666666667 0.389360
3 iris.scale 4 2 False 10 0.9666667 100.0 20.905440
4 iris.scale 5 2 False 10 0.9666667 100.0 0.964515
5 iris.scale 6 2 False 10 0.9666667 100.0 7.805705
6 iris.scale 7 2 False 10 0.9666667 86.66666666666667 7.817051
7 iris.scale 8 2 False 10 0.9666667 100.0 34.642458
8 iris.scale 9 2 False 10 0.9666667 100.0 0.475230
9 iris.scale 10 2 False 10 0.9666667 100.0 15.241020
10 iris.scale 11 2 False 10 0.9666667 83.33333333333334 9.446826
11 iris.scale 12 2 False 10 0.9666667 100.0 9.871905
12 iris.scale 13 2 False 10 0.9666667 100.0 14.637559
13 iris.scale 14 2 False 10 0.9666667 86.66666666666667 13.602019
14 iris.scale 15 2 False 10 0.9666667 100.0 32.589870
15 iris.scale 16 2 False 10 0.9666667 100.0 19.417696
16 iris.scale 17 2 False 10 0.9666667 100.0 24.860881
17 iris.scale 18 2 False 10 0.9666667 100.0 1.019727
18 iris.scale 19 2 False 10 0.9666667 100.0 3.761648
19 iris.scale 20 2 False 10 0.9666667 100.0 32.907130
