N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
0 vowel.scale 1 5 False 10 0.36363637 43.93939393939394 0.3181818 24.242424242424242 0.8030303 78.78787878787878 0.9166666 86.36363636363636 0.44696972 56.81818181818182 0.569697 58.030303 0.599492
1 vowel.scale 3 5 False 10 0.8333333 84.0909090909091 0.9545454 94.6969696969697 0.5681818 53.78787878787878 0.7121212 70.45454545454545 0.88636357 93.93939393939394 0.790909 79.393939 15.880229
2 vowel.scale 5 5 False 10 0.81060606 81.06060606060606 0.9545454 90.9090909090909 0.9166666 87.12121212121212 0.9242424 86.36363636363636 0.78787875 84.84848484848484 0.878788 86.060606 1.217379
3 vowel.scale 7 5 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.9242424 87.12121212121212 0.78787875 69.6969696969697 0.9015151 92.42424242424242 0.892424 86.363636 1.492607
4 vowel.scale 9 5 False 10 0.7575758 63.63636363636363 0.8939394 54.54545454545454 0.9242424 31.818181818181817 0.78030306 18.939393939393938 0.84090906 65.15151515151516 0.839394 46.818182 49.121154
5 vowel.scale 11 5 False 10 0.57575756 62.121212121212125 0.9469697 93.18181818181817 0.9469697 92.42424242424242 0.9166666 86.36363636363636 0.9015151 88.63636363636364 0.857576 84.545455 58.217573
6 vowel.scale 13 5 False 10 0.9166666 37.121212121212125 0.9469697 93.18181818181817 0.9242424 87.12121212121212 0.9166666 86.36363636363636 0.8939394 78.78787878787878 0.919697 76.515152 50.908227
7 vowel.scale 15 5 False 10 0.9166666 87.87878787878788 0.9469697 93.18181818181817 0.9469697 51.515151515151516 0.9469697 87.87878787878788 0.9015151 93.93939393939394 0.931818 82.878788 71.478392
8 vowel.scale 17 5 False 10 0.939394 63.63636363636363 0.9469697 92.42424242424242 0.87878793 18.181818181818183 0.9166666 84.84848484848484 0.9166666 93.18181818181817 0.919697 70.454545 55.330328
9 vowel.scale 19 5 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.9469697 90.9090909090909 0.9242424 6.8181818181818175 0.88636357 93.93939393939394 0.921212 74.848485 78.855332
10 vowel.scale 21 5 False 10 0.8636364 84.0909090909091 0.969697 95.45454545454545 0.939394 91.66666666666666 0.9469697 87.87878787878788 0.9015151 50.0 0.924242 81.818182 116.542126
