N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
0 vowel.scale 1 7 False 10 0.88636357 88.63636363636364 0.9469697 93.18181818181817 0.72727275 67.42424242424242 0.7424242 67.42424242424242 0.88636357 93.93939393939394 0.837879 82.121212 0.759271
1 vowel.scale 3 7 False 10 0.76515156 75.0 0.9469697 93.18181818181817 0.9166666 87.12121212121212 0.87878793 75.75757575757575 0.88636357 91.66666666666666 0.878788 84.545455 1.207110
2 vowel.scale 5 7 False 10 0.9015151 89.39393939393939 0.969697 95.45454545454545 0.9015151 87.12121212121212 0.9166666 86.36363636363636 0.7954545 81.06060606060606 0.896970 87.878788 1.385967
3 vowel.scale 7 7 False 10 0.88636357 84.84848484848484 0.969697 95.45454545454545 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.921212 89.848485 36.166163
4 vowel.scale 9 7 False 10 0.81060606 46.96969696969697 0.9545454 83.33333333333334 0.939394 67.42424242424242 0.9090909 33.33333333333333 0.76515156 68.93939393939394 0.875758 60.000000 76.532011
5 vowel.scale 11 7 False 10 0.9166666 77.27272727272727 1.0 69.6969696969697 0.9090909 83.33333333333334 0.9469697 87.12121212121212 0.88636357 90.15151515151516 0.931818 81.515152 80.237299
6 vowel.scale 13 7 False 10 0.8712121 86.36363636363636 0.9545454 14.393939393939394 0.9242424 88.63636363636364 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.916667 74.242424 85.170864
7 vowel.scale 15 7 False 10 0.8636364 86.36363636363636 0.9545454 78.78787878787878 0.9318181 88.63636363636364 0.9242424 86.36363636363636 0.8030303 81.06060606060606 0.895455 84.242424 74.888814
8 vowel.scale 17 7 False 10 0.9090909 75.75757575757575 0.9545454 95.45454545454545 0.9090909 67.42424242424242 0.9318181 87.12121212121212 0.9166666 93.18181818181817 0.924242 83.787879 191.984651
9 vowel.scale 19 7 False 10 0.9166666 89.39393939393939 0.9469697 84.0909090909091 0.9242424 88.63636363636364 0.9318181 86.36363636363636 0.9015151 68.93939393939394 0.924242 83.484848 101.805646
10 vowel.scale 21 7 False 10 0.9242424 90.15151515151516 0.969697 NaN NaN NaN NaN NaN NaN NaN 95.45454545454545 0.939394 92.42424242424242
