N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
0 vowel.scale 1 2 False 10 0.6515151 63.63636363636363 0.7045455 74.24242424242425 0.57575756 58.333333333333336 0.78787875 69.6969696969697 0.72727275 74.24242424242425 0.689394 68.030303 0.482862
1 vowel.scale 3 2 False 10 0.9015151 87.87878787878788 0.7121212 74.24242424242425 0.72727275 67.42424242424242 0.8560606 78.78787878787878 0.6666667 68.93939393939394 0.772727 75.454545 0.781760
2 vowel.scale 5 2 False 10 0.9015151 89.39393939393939 0.8939394 90.15151515151516 0.9166666 87.12121212121212 0.7575758 76.51515151515152 0.8257576 87.87878787878788 0.859091 86.212121 0.882462
3 vowel.scale 7 2 False 10 0.77272725 77.27272727272727 0.9545454 93.93939393939394 0.9469697 92.42424242424242 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.901515 89.090909 1.035424
4 vowel.scale 9 2 False 10 0.9090909 64.39393939393939 0.7121212 74.24242424242425 0.8181818 25.757575757575758 0.9469697 80.3030303030303 0.50757575 58.333333333333336 0.778788 60.606061 23.013698
5 vowel.scale 11 2 False 10 0.9242424 30.303030303030305 0.76515156 78.78787878787878 0.87878793 78.03030303030303 0.9166666 87.12121212121212 0.78030306 81.81818181818183 0.853030 71.212121 44.645192
6 vowel.scale 13 2 False 10 0.9166666 78.03030303030303 0.9469697 90.15151515151516 0.9318181 92.42424242424242 0.9015151 79.54545454545455 0.87878793 35.60606060606061 0.915151 75.151515 22.808651
7 vowel.scale 15 2 False 10 0.8333333 78.03030303030303 0.9469697 93.18181818181817 0.8560606 67.42424242424242 0.8484848 80.3030303030303 0.9015151 27.27272727272727 0.877273 69.242424 26.539776
8 vowel.scale 17 2 False 10 0.9166666 91.66666666666666 0.9469697 93.18181818181817 0.939394 92.42424242424242 0.9242424 86.36363636363636 0.8939394 10.606060606060606 0.924242 74.848485 41.603061
9 vowel.scale 19 2 False 10 0.9015151 89.39393939393939 0.969697 12.878787878787879 0.72727275 67.42424242424242 0.9166666 86.36363636363636 0.8333333 84.0909090909091 0.869697 68.030303 23.526069
10 vowel.scale 21 2 False 10 0.9166666 91.66666666666666 0.969697 92.42424242424242 0.9318181 89.39393939393939 0.9015151 85.60606060606061 0.9166666 68.93939393939394 0.927273 85.606061 39.303768
