N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
0 vowel.scale 1 6 False 10 0.4848485 48.484848484848484 0.62878793 66.66666666666666 0.54545456 53.78787878787878 0.9469697 87.87878787878788 0.22727272 25.757575757575758 0.566667 56.515152 0.648859
1 vowel.scale 3 6 False 10 0.9015151 89.39393939393939 0.7575758 76.51515151515152 0.9166666 87.12121212121212 0.8484848 80.3030303030303 0.7575758 78.78787878787878 0.836364 82.424242 1.033200
2 vowel.scale 5 6 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.9166666 86.36363636363636 0.9166666 86.36363636363636 0.8560606 89.39393939393939 0.907576 88.939394 1.244716
3 vowel.scale 7 6 False 10 0.9090909 92.42424242424242 0.9469697 93.18181818181817 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.88636357 93.93939393939394 0.921212 90.909091 1.470965
4 vowel.scale 9 6 False 10 0.8333333 63.63636363636363 0.9242424 90.15151515151516 0.9166666 67.42424242424242 0.9166666 84.84848484848484 0.88636357 68.93939393939394 0.895454 75.000000 54.996695
5 vowel.scale 11 6 False 10 0.9015151 83.33333333333334 0.9469697 75.0 0.939394 92.42424242424242 0.77272725 76.51515151515152 0.72727275 68.93939393939394 0.857576 79.242424 62.274338
6 vowel.scale 13 6 False 10 0.9015151 89.39393939393939 0.7121212 74.24242424242425 0.9469697 92.42424242424242 0.9242424 25.757575757575758 0.9015151 93.93939393939394 0.877273 75.151515 82.559369
7 vowel.scale 15 6 False 10 0.8939394 83.33333333333334 0.8939394 90.15151515151516 0.9469697 90.9090909090909 0.9166666 86.36363636363636 0.88636357 93.93939393939394 0.907576 88.939394 71.401721
8 vowel.scale 17 6 False 10 0.8484848 83.33333333333334 0.9545454 93.18181818181817 0.9166666 71.96969696969697 0.87878793 84.84848484848484 0.9015151 7.575757575757576 0.900000 68.181818 71.995353
9 vowel.scale 19 6 False 10 0.9166666 87.87878787878788 0.969697 95.45454545454545 0.9166666 87.12121212121212 0.9469697 87.87878787878788 0.8939394 34.84848484848485 0.928788 78.636364 66.535348
10 vowel.scale 21 6 False 10 0.9166666 77.27272727272727 0.9469697 23.484848484848484 0.9469697 93.18181818181817 0.9318181 32.57575757575758 0.8939394 7.575757575757576 0.927273 46.818182 96.366836
