N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
0 vowel.scale 1 3 False 10 0.76515156 75.75757575757575 0.62878793 65.9090909090909 0.56060606 53.78787878787878 0.530303 40.909090909090914 0.78030306 84.0909090909091 0.653030 64.090909 0.566605
1 vowel.scale 3 3 False 10 0.6515151 63.63636363636363 0.719697 75.75757575757575 0.84090906 79.54545454545455 0.9015151 80.3030303030303 0.88636357 93.93939393939394 0.800000 78.636364 0.783114
2 vowel.scale 5 3 False 10 0.9015151 89.39393939393939 0.969697 93.93939393939394 0.9166666 87.12121212121212 0.9166666 86.36363636363636 0.67424244 68.18181818181817 0.875758 85.000000 0.973229
3 vowel.scale 7 3 False 10 0.8939394 89.39393939393939 0.9469697 92.42424242424242 0.939394 92.42424242424242 0.9469697 87.87878787878788 0.87878793 93.93939393939394 0.921212 91.212121 39.565042
4 vowel.scale 9 3 False 10 0.9015151 31.060606060606062 0.9545454 89.39393939393939 0.7954545 75.75757575757575 0.8484848 80.3030303030303 0.9015151 71.96969696969697 0.880303 69.696970 29.931540
5 vowel.scale 11 3 False 10 0.9242424 50.0 0.7045455 75.75757575757575 0.939394 92.42424242424242 0.9090909 87.12121212121212 0.9015151 80.3030303030303 0.875758 77.121212 37.176837
6 vowel.scale 13 3 False 10 0.9015151 89.39393939393939 0.8939394 90.15151515151516 0.75 68.93939393939394 0.76515156 76.51515151515152 0.72727275 84.0909090909091 0.807576 81.818182 32.414411
7 vowel.scale 15 3 False 10 0.9015151 89.39393939393939 0.9545454 93.18181818181817 0.87878793 78.03030303030303 0.9166666 87.12121212121212 0.8939394 93.93939393939394 0.909091 88.333333 30.706181
8 vowel.scale 17 3 False 10 0.9242424 88.63636363636364 0.9545454 64.39393939393939 0.8484848 80.3030303030303 0.9469697 77.27272727272727 0.88636357 94.6969696969697 0.912121 81.060606 43.645283
9 vowel.scale 19 3 False 10 0.9242424 85.60606060606061 0.9469697 93.18181818181817 0.939394 91.66666666666666 0.9242424 72.72727272727273 0.9015151 19.696969696969695 0.927273 72.575758 60.117414
10 vowel.scale 21 3 False 10 0.9166666 53.78787878787878 0.9545454 94.6969696969697 0.9166666 87.87878787878788 0.9469697 87.87878787878788 0.9015151 23.484848484848484 0.927273 69.545455 50.517780
