N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
0 vowel.scale 1 1 False 10 0.6515151 63.63636363636363 0.9545454 93.18181818181817 0.28030303 31.818181818181817 0.9166666 86.36363636363636 0.12878788 12.121212121212121 0.586364 57.424242 0.530813
1 vowel.scale 3 1 False 10 0.9015151 89.39393939393939 0.7121212 74.24242424242425 0.72727275 67.42424242424242 0.9242424 86.36363636363636 0.6666667 68.18181818181817 0.786364 77.121212 0.650570
2 vowel.scale 5 1 False 10 0.6515151 63.63636363636363 0.8181818 82.57575757575758 0.9166666 87.12121212121212 0.8712121 77.27272727272727 0.88636357 93.93939393939394 0.828788 80.909091 11.642727
3 vowel.scale 7 1 False 10 0.9015151 89.39393939393939 0.8636364 83.33333333333334 0.8030303 72.72727272727273 0.9166666 86.36363636363636 0.9166666 94.6969696969697 0.880303 85.303030 12.209375
4 vowel.scale 9 1 False 10 0.41666666 89.39393939393939 0.7121212 75.0 0.7424242 67.42424242424242 0.78030306 75.75757575757575 0.3181818 68.93939393939394 0.593939 75.303030 10.328049
5 vowel.scale 11 1 False 10 0.9166666 90.9090909090909 0.9469697 73.48484848484848 0.9545454 68.18181818181817 0.7045455 42.42424242424242 0.72727275 74.24242424242425 0.850000 69.848485 46.854879
6 vowel.scale 13 1 False 10 0.9015151 89.39393939393939 0.9090909 89.39393939393939 0.9166666 87.12121212121212 0.939394 87.12121212121212 0.76515156 12.121212121212121 0.886364 73.030303 14.947516
7 vowel.scale 15 1 False 10 0.9090909 7.575757575757576 0.9469697 21.96969696969697 0.9242424 90.9090909090909 0.9469697 70.45454545454545 0.77272725 85.60606060606061 0.900000 55.303030 12.650739
8 vowel.scale 17 1 False 10 0.9015151 42.42424242424242 0.96212125 62.878787878787875 0.9166666 87.12121212121212 0.939394 33.33333333333333 0.6666667 27.27272727272727 0.877273 50.606061 45.465273
9 vowel.scale 19 1 False 10 0.9090909 90.9090909090909 0.96212125 93.93939393939394 0.9318181 90.15151515151516 0.8939394 84.0909090909091 0.9015151 36.36363636363637 0.919697 79.090909 53.292378
10 vowel.scale 21 1 False 10 0.9318181 92.42424242424242 0.98484844 97.72727272727273 0.9090909 86.36363636363636 0.8484848 80.3030303030303 0.9015151 53.03030303030303 0.915151 81.969697 12.336517
