N dataset population_size generations cross_validation cv_folds fitness accuracy time
0 iris.scale 1 1 False 10 0.9666667 100.0 0.343748
1 iris.scale 2 1 False 10 0.9666667 100.0 7.861709
2 iris.scale 3 1 False 10 0.9666667 100.0 6.757892
3 iris.scale 4 1 False 10 0.9666667 100.0 7.924825
4 iris.scale 5 1 False 10 0.9666667 100.0 4.719489
5 iris.scale 6 1 False 10 0.9666667 100.0 8.051454
6 iris.scale 7 1 False 10 0.9666667 100.0 8.705894
7 iris.scale 8 1 False 10 0.9666667 96.66666666666667 15.474891
8 iris.scale 9 1 False 10 0.9666667 100.0 15.787199
9 iris.scale 10 1 False 10 0.9666667 100.0 5.638110
10 iris.scale 11 1 False 10 1.0 100.0 0.485566
11 iris.scale 12 1 False 10 0.9666667 100.0 5.305629
12 iris.scale 13 1 False 10 0.9666667 100.0 7.008201
13 iris.scale 14 1 False 10 0.9666667 100.0 0.655793
14 iris.scale 15 1 False 10 0.9666667 100.0 13.221931
15 iris.scale 16 1 False 10 0.9666667 100.0 18.633998
16 iris.scale 17 1 False 10 0.9666667 100.0 5.029961
17 iris.scale 18 1 False 10 0.9666667 100.0 0.762747
18 iris.scale 19 1 False 10 0.9666667 100.0 18.306476
19 iris.scale 20 1 False 10 0.9666667 100.0 10.892050
