N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
1 dna.scale 1 1 False 10 0.862 81.8 0.23200001 21.4 0.88 89.2 0.698 69.0 0.95 93.2 0.724400 70.920000 2.485305
2 dna.scale 1 3 False 10 0.944 92.2 0.934 94.0 0.93200004 94.8 0.934 92.60000000000001 0.91800004 90.8 0.932400 92.880000 3.592837
3 dna.scale 1 5 False 10 0.936 89.8 0.93799996 94.6 0.92800003 94.8 0.952 91.8 0.954 89.60000000000001 0.941600 92.120000 5.953502
4 dna.scale 2 1 False 10 0.94600004 91.60000000000001 0.906 91.0 0.93200004 93.4 0.94200003 93.4 0.952 93.2 0.935600 92.520000 3.570679
5 dna.scale 2 3 False 10 0.944 91.4 0.936 94.0 0.92999995 95.19999999999999 0.61 59.199999999999996 0.954 89.8 0.874800 85.920000 50.343948
6 dna.scale 2 5 False 10 0.94600004 92.2 0.93200004 92.60000000000001 0.92999995 95.19999999999999 0.93799996 95.19999999999999 0.91800004 90.8 0.932800 93.200000 9.009948
7 dna.scale 3 1 False 10 0.956 93.2 0.59999996 62.6 0.924 93.4 0.926 92.4 0.95 93.0 0.871200 86.920000 5.281518
8 dna.scale 3 3 False 10 0.92999995 90.4 0.934 94.39999999999999 0.936 95.39999999999999 0.93799996 95.0 0.95 90.4 0.937600 93.120000 12.574361
9 dna.scale 3 5 False 10 0.944 92.60000000000001 0.934 93.2 0.88 89.2 0.93799996 94.8 0.936 90.8 0.926400 92.120000 13.017258
10 dna.scale 4 1 False 10 0.912 88.4 0.936 93.8 0.93200004 95.19999999999999 0.93799996 94.8 0.954 93.2 0.934400 93.080000 7.350577
11 dna.scale 4 3 False 10 0.95 92.80000000000001 0.92800003 92.4 0.904 93.0 0.924 92.60000000000001 0.93799996 92.0 0.928800 92.560000 16.661569
12 dna.scale 4 5 False 10 0.958 92.80000000000001 0.936 93.60000000000001 0.94200003 95.19999999999999 0.94799995 94.19999999999999 0.95 90.60000000000001 0.946800 93.280000 23.039187
13 dna.scale 5 1 False 10 0.94799995 92.0 0.906 91.0 0.92999995 95.19999999999999 0.93799996 95.19999999999999 0.952 92.0 0.934800 93.080000 8.405621
14 dna.scale 5 3 False 10 0.94600004 91.8 0.934 94.0 0.93799996 95.39999999999999 0.94200003 94.19999999999999 0.956 90.2 0.943200 93.120000 17.906537
15 dna.scale 5 5 False 10 0.94799995 92.2 0.93200004 93.2 0.936 94.39999999999999 0.94799995 93.2 0.952 93.2 0.943200 93.240000 21.036177
16 dna.scale 6 1 False 10 0.944 92.2 0.934 93.2 0.916 94.0 0.94799995 94.39999999999999 0.954 93.0 0.939200 93.360000 9.923910
17 dna.scale 6 3 False 10 0.94600004 92.2 0.936 93.8 0.94 95.19999999999999 0.954 94.19999999999999 0.956 90.0 0.946400 93.080000 21.935716
18 dna.scale 6 5 False 10 0.94600004 92.2 0.93799996 94.6 0.94200003 95.39999999999999 0.936 94.39999999999999 0.954 89.60000000000001 0.943200 93.240000 30.796417
19 dna.scale 7 1 False 10 0.94600004 92.2 0.912 92.2 0.93200004 95.19999999999999 0.952 93.2 0.954 93.60000000000001 0.939200 93.280000 8.372456
20 dna.scale 7 3 False 10 0.958 92.80000000000001 0.936 93.8 0.93200004 95.19999999999999 0.95 94.19999999999999 0.93799996 91.60000000000001 0.942800 93.520000 22.404806
21 dna.scale 7 5 False 10 0.954 92.2 0.936 93.8 0.93799996 94.19999999999999 0.93799996 95.0 0.954 89.8 0.944000 93.000000 29.292055
22 dna.scale 8 1 False 10 0.89400005 90.4 0.91400003 91.0 0.83 89.2 0.9 89.0 0.94200003 90.4 0.896000 90.000000 173.138895
23 dna.scale 8 3 False 10 0.91800004 90.4 0.924 91.8 0.87600005 89.2 0.936 95.0 0.92999995 89.8 0.916800 91.240000 423.220815
24 dna.scale 8 5 False 10 0.93799996 91.8 0.906 91.0 1.0 54.400000000000006 0.93799996 95.0 0.94799995 93.2 0.946000 85.080000 454.468624
25 dna.scale 9 1 False 10 0.92999995 90.4 0.754 88.4 0.93200004 95.0 0.834 76.0 0.28 90.8 0.746000 88.120000 118.834234
26 dna.scale 9 3 False 10 0.944 92.2 0.91800004 93.2 1.0 58.199999999999996 0.93799996 95.19999999999999 0.684 93.0 0.896800 86.360000 359.348958
27 dna.scale 9 5 False 10 0.956 93.2 0.86 21.4 0.92999995 95.19999999999999 0.94200003 95.0 0.95 90.4 0.927600 79.040000 617.882649
28 dna.scale 10 1 False 10 0.92999995 88.8 0.898 92.0 0.782 84.39999999999999 1.0 92.4 0.88799995 90.4 0.899600 89.600000 158.595163
29 dna.scale 10 3 False 10 0.94600004 92.2 0.912 93.0 
