N dataset population_size generations cross_validation cv_folds fitness0 accuracy0 fitness1 accuracy1 fitness2 accuracy2 fitness3 accuracy3 fitness4 accuracy4 mean_fitness mean_accuracy time
1 vowel.scale 1 1 False 10 0.29545453 37.878787878787875 0.8257576 87.12121212121212 0.4848485 46.96969696969697 0.7121212 70.45454545454545 0.6666667 68.93939393939394 0.596970 62.272727 0.543255
2 vowel.scale 1 2 False 10 0.16666667 18.181818181818183 0.8939394 90.15151515151516 0.7348485 71.96969696969697 NaN NaN NaN NaN 0.598485 60.101010 0.545506
3 vowel.scale 1 3 False 10 0.6363636 67.42424242424242 0.7045455 74.24242424242425 NaN NaN NaN NaN NaN NaN 0.670455 70.833333 0.550245
4 vowel.scale 1 4 False 10 0.9015151 89.39393939393939 0.7045455 74.24242424242425 NaN NaN NaN NaN NaN NaN 0.803030 81.818182 0.525119
5 vowel.scale 1 5 False 10 0.9015151 89.39393939393939 NaN NaN NaN NaN NaN NaN NaN NaN 0.901515 89.393939 0.559856
6 vowel.scale 2 1 False 10 0.54545456 59.09090909090909 0.969697 95.45454545454545 0.7045455 70.45454545454545 0.9318181 87.87878787878788 0.68939394 71.96969696969697 0.768182 76.969697 0.547064
7 vowel.scale 2 2 False 10 0.6515151 63.63636363636363 0.6212121 63.63636363636363 0.8257576 78.03030303030303 NaN NaN NaN NaN 0.699495 68.434343 0.640363
8 vowel.scale 2 3 False 10 0.6515151 63.63636363636363 0.77272725 78.78787878787878 NaN NaN NaN NaN NaN NaN 0.712121 71.212121 0.820982
9 vowel.scale 2 4 False 10 0.6515151 63.63636363636363 0.719697 75.75757575757575 NaN NaN NaN NaN NaN NaN 0.685606 69.696970 0.774919
10 vowel.scale 2 5 False 10 0.9015151 89.39393939393939 NaN NaN NaN NaN NaN NaN NaN NaN 0.901515 89.393939 0.724000
11 vowel.scale 3 1 False 10 0.65909094 65.9090909090909 0.6363636 63.63636363636363 0.76515156 71.21212121212122 0.8257576 79.54545454545455 0.7424242 80.3030303030303 0.725758 72.121212 0.617624
12 vowel.scale 3 2 False 10 0.9015151 89.39393939393939 0.7045455 74.24242424242425 0.719697 64.39393939393939 NaN NaN NaN NaN 0.775253 76.010101 0.795739
13 vowel.scale 3 3 False 10 0.8333333 78.03030303030303 0.9015151 90.15151515151516 NaN NaN NaN NaN NaN NaN 0.867424 84.090909 0.966993
14 vowel.scale 3 4 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 NaN NaN NaN NaN NaN NaN 0.924242 91.287879 0.849925
15 vowel.scale 3 5 False 10 0.8333333 78.03030303030303 NaN NaN NaN NaN NaN NaN NaN NaN 0.833333 78.030303 0.818777
16 vowel.scale 4 1 False 10 0.7575758 80.3030303030303 0.96212125 93.18181818181817 0.88636357 79.54545454545455 0.8560606 81.06060606060606 0.78030306 84.0909090909091 0.848485 83.636364 0.788654
17 vowel.scale 4 2 False 10 0.76515156 79.54545454545455 0.5833333 65.15151515151516 0.9242424 90.15151515151516 NaN NaN NaN NaN 0.757576 78.282828 0.995360
18 vowel.scale 4 3 False 10 0.9090909 90.15151515151516 0.7045455 74.24242424242425 NaN NaN NaN NaN NaN NaN 0.806818 82.196970 294.471580
19 vowel.scale 4 4 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 NaN NaN NaN NaN NaN NaN 0.924242 91.287879 1.052323
20 vowel.scale 4 5 False 10 0.8333333 78.03030303030303 NaN NaN NaN NaN NaN NaN NaN NaN 0.833333 78.030303 0.831555
21 vowel.scale 5 1 False 10 0.9090909 89.39393939393939 0.72727275 75.0 0.72727275 71.96969696969697 0.939394 88.63636363636364 0.8030303 82.57575757575758 0.821212 81.515152 16.128723
22 vowel.scale 5 2 False 10 0.75 74.24242424242425 0.9545454 93.18181818181817 0.939394 92.42424242424242 NaN NaN NaN NaN 0.881313 86.616162 4.976661
23 vowel.scale 5 3 False 10 0.9015151 89.39393939393939 0.81060606 83.33333333333334 NaN NaN NaN NaN NaN NaN 0.856061 86.363636 1.049139
24 vowel.scale 5 4 False 10 0.84090906 82.57575757575758 0.9015151 88.63636363636364 NaN NaN NaN NaN NaN NaN 0.871212 85.606061 1.156090
25 vowel.scale 5 5 False 10 0.9166666 91.66666666666666 NaN NaN NaN NaN NaN NaN NaN NaN 0.916667 91.666667 1.101129
26 vowel.scale 6 1 False 10 0.8257576 84.0909090909091 0.9469697 93.18181818181817 0.87878793 78.03030303030303 0.9318181 90.15151515151516 0.9015151 92.42424242424242 0.896970 87.575758 0.778495
27 vowel.scale 6 2 False 10 0.9015151 89.39393939393939 0.9469697 93.18181818181817 0.84090906 80.3030303030303 NaN NaN NaN NaN 0.896465 87.626263 0.881529
28 vowel.scale 6 3 False 10 0.72727275 75.75757575757575 0.9469697 93.18181818181817 NaN NaN NaN NaN NaN NaN 0.837121 84.469697 500.492266
29 vowel.scale 6 4 False 10 0.9015151 89.39393939393939 0.9318181 92.42424242424242 NaN NaN NaN NaN NaN NaN 0.916667 90.909091 1.063935
30 vowel.scale 6 5 False 10 0.9242424 90.9090909090909 NaN NaN NaN NaN NaN NaN NaN NaN 0.924242 90.909091 1.598512
